"REFERENCE","SAMPLE.CODE","SITE.NAME","country","WTD","pH","lat","lon","ALA.MIL","AMP.WRI","ARC.ART","ARC.CAT","ARC.DIS","ARC.GIB","ARC.HEM","ARC.VUL","ARC.FLA","ARG.DEN","ASS.MUS","ASS.SEM","BUL.IND","CEN.ACU","CEN.CAS","CEN.ECO","CEN.PLA","CON.PON","COR.TRI","CRY.OVI","CRY.SAC","CYC.ARC","CYP.AMP","DIF.ACU","DIF.BAC","DIF.GLO","DIF.LEI","DIF.LUC","DIF.OBL","DIF.OVI","DIF.PRI","DIF.PUL","DIF.RUB","DIF.URC","EUG.CIL","EUG.ROT","EUG.STR","EUG.TUB","GIB.TUB","HEL.PET","HEL.ROS","HEL.SPH","HEL.SYL","HYA.ELE","HYA.MIN","HYA.PAP","HYA.SUB","LES.EPI","LES.SPI","NEB.BAR","NEB.COL","NEB.FLA","NEB.MIN","NEB.PEN","NEB.TIN","PAD.LAG","PAD.WAI","PAR.IRR","PHR.ACR","PHY.GRI","PLAGIO","PLA.SPI","PLA.CAR","PLA.MAR","PSE.FAS","PSE.FUL","PYXI","QUA.SYM","SPH.LEN","TRA.DEN","TRI.ARC","WAI.EBO"
"Lamarre et al 2013","KUJU_2","Kuujuarapik","Canada",4,4.26,55.226,-77.696,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamarre et al 2013","LG2 Bog_10","La Grande Bog","Canada",4,3.83,53.65,-77.726,1.4,2.7,1.4,1.4,4.1,0,0,0,10.8,0,6.1,2,3.4,0,0,0,0,0,0,0,0,10.1,0,0,0,0.7,0,1.4,0,0,2,1.4,0,0,0,0,1.4,1.4,0,0,0,0.7,1.4,0.7,0,0.7,18.2,0,0,0,0,0,0,0,0.7,0,0,0,0,2.7,0,4.1,1.4,2.7,0,7.4,0,0,0,0,8.1,0
"Lamarre et al 2013","LG2 Bog_5","La Grande Bog","Canada",4,3.96,53.65,-77.726,0,0,0.7,0,6.7,0,0,0,34,0,1.3,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3.3,1.3,0,0,0,0,0,0,0,1.3,2.7,2.7,0,0,0,0,0,8.7,0,13.3,0,0,0,0,0,0,0,0,1.3,0,0,0,0.7,2.7,0,12,0,2,0,0,0,0,0,0,0,0
"Lamarre et al 2013","Roma_4","Roma","Canada",4,4.5,50.298,-63.693,5.3,4,0.7,0,1.3,0,0,0,29.3,0,2.7,0.7,0.7,0,0,0,0,0,1.3,0,0,0.7,0,0,0,0,0,1.3,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,29.3,0.7,6.7,0,0,0,0,0.7,0,0,0,5.3,0,0,0,4.7,1.3,0,1.3,0,1.3,0,0,0,0,0,0,0,0
"Roe et al 2017","ALF32","Alfred","Canada",4,2.67,45.494,-74.805,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,5.1,0,5.1,0,8.6,0,0,0,0,2.9,0,0,0,0,0,0,0,0,15.4,0,11.4,31.4,0,0,0,0,0,0,0,0,0
"Roe et al 2017","MER5","Mer Bleue","Canada",4,4.39,45.402,-75.486,0,0,0,1.4,6.8,0,0,8.1,0,0,2,0,0,54.1,0,0,0,0,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4.7,1.4,0,0,0,0,0,0,1.4,0,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0
"Roe et al 2017","MER39","Mer Bleue","Canada",4,3.94,45.402,-75.486,2.3,0,0,0.6,13.3,0,0,0,0,0,4.6,1.2,0,1.2,0,0,0,0,8.1,0,0,2.9,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.6,0.6,1.2,0,0,0,1.7,0.6,22,0,7.5,13.3,0,0,0,0,0,1.7,12.7,2.3,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.6,0
"Roe et al 2017","MIR18","Mirabel","Canada",4,3.7,45.685,-74.045,0,0,0,0,38.5,0,0,0,0,0,15.5,3.1,1.2,0,0,0,0,0,1.2,0,0,2.5,0,0,0,0,0,3.1,0,0,0,0,0,2.5,0,0.6,4.3,2.5,0,0,0,0,0,8.7,0,0,13,0,0,0,0,0,0,1.2,1.2,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0
"Booth 2008","TL24","Trout A","United States of America",4.2,4.32,46.004,-89.594,0,0,0,0,2.7,0,0,5.9,0,0,40.4,0,0,1.1,0,0,0,0,0.5,0,0,0.5,0,0.5,2.7,20.2,1.1,1.1,1.1,0,0,0,0,0,0,0,4.3,4.3,0,2.7,0,1.1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,1.1,1.1,0,0,5.3,0,0,0,0,0,0,0,1.1,0
"Lamarre et al 2013","Roma_2_5","Roma","Canada",4.3,4.23,50.298,-63.693,0.7,0,0,0,4.7,0,0,0,36.7,0,2,0.7,0,0.7,0,0,0,0,0,0,0,2.7,0,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1.3,0,0,12.7,0,20.7,0,0,0,0,0,0,0,0,2.7,0,0,0,10,1.3,0,1.3,0,0.7,0,0,0,0,0,0,0,0
"Booth 2008","GR06","Grimes","United States of America",4.4,4.04,46.276,-86.65,0,0.6,0,0,22.5,0,0.6,23.8,18.8,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,2.5,0,1.3,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,6.9,0,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.9,0,0,0,0,0,0,0,0,0,0,0,0
"Booth 2008","AL03","Herron","United States of America",4.5,3.53,45.102,-83.639,0.6,0,0,0,17,0,0,0,0,0,32.7,6.1,14.5,0,0.6,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,3,0,0,0,0.6,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Booth 2008","RPS01","Small Red Pine","United States of America",4.5,3.95,46.238,-86.617,0,0,0,0,0.6,0,0,0,0,0,8.6,6.7,0,0,1.2,0,0,0,0.6,0,0,0,0,0,0,4.9,0.6,0.6,0,0,0,0,0,0,0,0,4.3,3.1,0,0,0,0,0,0,0,27.6,0,0,0,0,0.6,0,0,0,34.4,0,0,0,4.3,1.8,0,0,0,0,0,0,0,0,0,0,0,0
"Booth 2008","SR09","South Rhody","United States of America",4.5,4.32,46.565,-86.075,0.6,0,0,0,0.6,0,0,0,0,0,13.8,1.9,0,17,1.3,0,2.5,0,0.6,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,1.9,0,18.9,0,0.6,0,0,0,0,0,0,0,0,9.4,0,0,0,0,10.1,0,0,0,1.3,0,0,0,0,0,0,1.3,0
"Booth 2001","958ada","Tahquamenon Bay","United States of America",5,6,46.475,-84.995,0,0,0,0,3.2,0,0,3.2,0,0,12.8,0,0,3.2,47.9,0,0,0,1.1,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,2.1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,3.2,0,1.1,0,0,0,0
"Booth 2002","840?Y00","Grand Traverse Bay","United States of America",5,4.2,47.166,-88.255,0,1,0,1,2.9,0,1,4.8,0,0,1,0,0,0,5.7,0,1,0,1,0,0,0,0,5.7,0,41.9,0,0,5.7,0,0,0,0,0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,7.6,0,0,1,0,0,1,0,0,0
"Booth 2002","IBCL59:12.5","Independence","United States of America",5,4.1,47.419,-88.01,0,0.4,0,0,0.4,0,1.2,4.4,0.8,0,8.8,0,0,0,0.8,0,0,0,0,0,0,0,0,3.2,0,36.1,0,0,0,20.5,0,0,0,0,0,0,0,0.4,0,0,0,15.3,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0
"Booth 2002","PBN8","Partridge Lake","United States of America",5,3.9,47.42,-88.008,0,0,0,2.3,1.6,0,0,0,5.5,0,2,0.4,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,4.3,0.8,40.2,0,12.5,0,0,0,0,3.5,0,0,0.4,0,0,0,0,2.3,11.7,0,0,2.7,0,0,1.2,0,0,0,0,2.3,0
"Booth 2008","AT03","Adams Trail","United States of America",5,3.89,46.547,-86.06,0,0,0,0,0,0,0,0,33.8,0,2.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,4.4,0,29.3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4.9,3.1,0,0.9,0,0,0,0,0,0,0,0,0.4,0
"Booth 2008","AT04","Adams Trail","United States of America",5,3.93,46.547,-86.06,0,0,0.6,1.9,0,0,0,0,13,0,3.7,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,10.6,0,23,0.6,13.7,0,0,0,0,9.3,0,0,0,1.9,0,0,0,11.2,4.3,0,0.6,2.5,1.2,0,0,0,0,0,0,0,0
"Booth 2008","GR08","Grimes","United States of America",5,4.06,46.276,-86.65,0,0.6,0,0,9.5,0,0,7.6,7,0,1.3,0,0,0,1.3,0,3.8,0,0.6,0,0,0,0,0.6,1.9,20.3,0.6,3.2,0,0,0,0,0,0,0,0,1.3,2.5,0,0,0,1.3,0,7,0,13.9,1.3,0,0,0,0,0,0,0,1.3,0,0,0,1.3,12,0,0,0,0,0,0,0,0,0,0,0,0
"Booth 2008","NR06","North Rhody","United States of America",5,4.21,46.583,-86.073,0,0,0.6,0,0,0,0,0,0,0,1.9,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,46.5,0,0,0,0,3.8,0,0,0,0.6,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0.6,0
"Booth 2008","SG26","Spring Pond","United States of America",5,3.58,44.368,-74.499,0,0,1.9,0,0,0,0,0,15.9,0,2.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,14,0,29,0,19.3,0,0,0,0,2.9,0,0,0,0,0,0,0,4.8,3.4,0,1.4,0,0,0,0,0,0,0,0,0.5,0
"Booth 2008","SR07","South Rhody","United States of America",5,4.09,46.565,-86.075,0,0,0,0.6,0,0,0,0,0,0,2.5,1.9,0.6,1.9,0,6.9,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,16.4,0,35.8,0,0,0,0,3.1,0,0,0,0,0,0,0,22,0.6,0,0,0,0,0,0,0,0,0,0,0.6,0
"Booth 2008","SR17","South Rhody","United States of America",5,4.16,46.565,-86.075,0,0,0.7,0,0,0,0,0,0.7,0,2,0,0,0,0,1.3,0,0,0,0,0,1.3,0,0,0.7,2,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,3.3,0,38.6,0,22.9,0,0,0,0,3.9,0,0,0,2.6,0,0,0,15.7,3.9,0,0,0,0,0,0,0,0,0,0,0,0
"Booth & Zygmunt 2005","ROB14","Robinson","United States of America",5,3.82,44.167,-111.071,0,0,0,0,1.1,0,0,0,0,2.9,14.9,0,0,9.4,19.2,0,0.4,0,5.1,0.4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.7,0,0.4,0,0,0,5.1,8.3,0,0,0,12.7,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,1.8,0,0,0
"Booth et al 2008","p13","Catfish Pocosin","United States of America",5,3.83,34.919,-77.088,0,0,0,0,0,0,0,0,75.3,0,0,0,0,0.6,0,0,0,0,1.3,0,0,0,0,0.6,0,0,0,0,1.3,0,0,0,1.3,0,0,0.6,4.5,0.6,0,0,0,5.8,0,5.2,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
"Markel et al. 2010","AK43","Gas field","United States of America",5,4.12,60.445,-151.246,0.7,7.3,0,0,0,0,0,1.3,20.7,1.3,8,1.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,6,0,0.7,0,3.3,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,8.7,0,18,0.7,0,0,0.7,0,0,0,0,0,0
"Markel et al. 2010","AK45","Gas field","United States of America",5,4.49,60.445,-151.246,0,39.1,0,0,0,0,0,0,16.6,0,4,0,0,3.3,0,0,0,0,0,0.7,0,0,0,0.7,0,2,0,0,0,0,0.7,0,0,0,0,0.7,0,1.3,0,0,0,2,0,0.7,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.7,0,19.2,1.3,0,0,0,0,0,0,0,0,0
"Markel et al. 2010","AK66","Parks Hwy ","United States of America",5,4.48,63.081,-149.527,0.7,0,0.7,3.3,0,0,0,0.7,1.3,10.7,2.7,0,0,0.7,4.7,0,0,0,8.7,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,2.7,1.3,0,0.7,16,0,0,0,0,0.7,0,0,0,0,6,0,0,0,4.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0
"Clifford (unpublished)","EC11-6","Eagle Creek","United States of America",5,4.09,58.284,-134.521,0,11.9,0,0,0,0,0,0,41.6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,26.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
"Clifford (unpublished)","FC11-12","Fish Creek",NA,5,4.06,58.336,-134.554,1,1,0,0,0,0,0,0,11.7,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.8,0,0,0,0,1,0,5.8,1.9,41.7,0,0,0,0,0,0,0,0,3.9,0,1.9,0,5.8,3.9,0,1.9,0,0,0,0,0,0,0,0,0,0
"Clifford (unpublished)","PB11-8","Point Bridget","United States of America",5,4.07,58.647,-134.934,0,3.9,0,0,0,0,0,0,39.8,0,3.9,1,0,0,0,2.9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.9,0,2.9,0,1,0,4.9,0,7.8,0,7.8,0,0,0,0,0,0,0,0,1.9,0,0,0,1,0,0,11.7,0,5.8,0,0,0,0,0,0,0,0
"Amesbury et al 2013","D4","Colin","Canada",5,4.08,45.108,-63.895,0,4.1,0,0.8,0,0,0,0,56.9,0,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,4.1,0,6.5,0,9.8,0.4,0,0,0,0,0,0,1.6,0,0,0,0,5.7,0,0,1.2,1.6,0,0,0,0,0,0,0,0,0
"Amesbury et al 2013","C3","Burnt Village Bog","Canada",5,4.38,51.126,-55.927,2.5,6.4,0,0.3,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0.3,0,1,0.3,21,0.3,6.7,0,0,0,0,0,0,0,0,1.6,0,0,0,6.1,0,0,0.3,0.3,0,0,0,0,0,0,0,0.6,0
"Amesbury et al 2013; Lamarre et al 2013","A5","Sept Isles","Canada",5,NA,50.202,-66.601,1.6,0,1.1,0.5,5.3,0,0,0,10.1,0,5.3,1.1,0,0.5,0,0,0,0,1.6,1.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,4.8,0.5,20.6,6.3,14.8,1.6,0,0,0,0,0,0,3.7,2.6,0,0,0,6.9,4.8,0,0,1.6,1.6,0,0,0,0,0,0,0.5,0
"Amesbury et al 2013","A4","Nordan's Pond","Canada",5,4.21,49.161,-53.598,1.1,5.8,0,0.5,0,0,0,0,34.4,0,5.8,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4.8,0,0,0,0,0.5,0,1.1,0,0,0,0,3.2,0,15.9,1.1,6.9,0,0,0,0,0,0,0,0.5,0,0,0,0,2.6,3.7,0,5.3,4.2,1.1,0,0,0,0,0,0,0,0
"Amesbury et al 2013","B3","Nordan's Pond","Canada",5,4.18,49.161,-53.598,2.6,13.5,0,0,0.6,0,0,0,30.8,0.6,1.3,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0,2.6,1.9,23.7,1.3,3.8,0,0,0,0,0,0,0,0,0,0,0.6,0,5.8,3.8,0,0.6,1.3,0.6,0,0,0,0,0,0,0,0
"Amesbury et al 2013; Charman and Warner 1997","6","Crooked","Canada",5,4.9,49.139,-56.111,2.8,0,0,0.9,0,0,0,0,20.2,0,5.5,3.7,0,2.8,0.9,0,0.9,0,0,0,1.8,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.9,0,3.7,0,2.8,0,4.6,0,6.4,1.8,0,0,0,0,0,0,0,12.8,0,1.8,0,0,0,0,8.3,5.5,0,0,0,0,0.9,0.9,0,2.8,0
"Amesbury et al 2013; Charman and Warner 1997","7","Crooked","Canada",5,4.9,49.139,-56.111,3.8,0,0,0,0,0,0,0,17.3,0,13.5,2.9,1,1.9,0,0,0,0,0,0,0,0,0,0,1.9,0,0,2.9,1.9,0,2.9,0,0,0,0,1.9,0,3.8,0,1,0,1.9,1.9,2.9,0,1.9,1,0,0,0,0,0,0,0,8.7,0,2.9,0,0,0,0,7.7,11.5,0,0,0,0,1.9,0,0,1,0
"Swindles unpublished","3","Toolik","United States of America",5,5.2,68.624,-149.58,0,0,0,1,0,1,0,0,0,0,0,0,0,14.3,3.8,0,0,0,10.5,0,1,0,1.9,0,0,8.6,0,0,32.4,0,0,0,0,0,4.8,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.3,0,0
"Lamarre et al 2013","Morts_5","Morts",NA,5,4.07,50.264,-63.669,6.8,0.7,0,0,0,0,0,0,53.4,0,8.1,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.7,0,0,1.4,0.7,0,0,0,0,0,1.4,0,0,0,0,0,4.7,3.4,6.1,2,0,0,0,0,0,0,0,2.7,0,0,0,0.7,0,0,1.4,0,2,0,2.7,0,0,0,0,0.7,0
"Lamarre et al 2013","Roma_13","Roma","Canada",5,4.01,50.298,-63.693,2.7,0,0,0,0,0,0,0,65.3,0,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10.7,0,7.3,0,0,0,0,0,0,0,0,1.3,0,0,0,4.7,1.3,0,0.7,0.7,0,0,1.3,0,0,0,0,0,0
"Charman and Warner 1992","1122","Wally Creek","Canada",5,4.54,49.076,-80.537,5.2,0,0,0,0,0,0,0,2.1,0,1,0,0,2.1,6.2,0,0,0,34,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,3.1,0,0,0,0,4.1,0,0,0,1,1,0,0,0,1,0,0,0,10.3,2.1,0,0,0,1,0,0,0,0,0,0,0,2.1,5.2,0,4.1,0
"Talbot unpublished","bog_202a","Scotty Creek","Canada",5.1,NA,61.307,-121.298,0,0.5,0,0,2,0,0,0,46,3.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0.5,5.9,0,22.3,0,0,0,0,0,0,0,0,0,0,0,0,4.5,3.5,0,3,0,0,0,0,0,0,0,0,1,0
"Booth 2008","GR02","Grimes","United States of America",5.5,3.92,46.276,-86.65,0.4,0,0.7,0,1.1,0,0,0,0.4,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,3.2,0,70.8,0,0,0.4,0,0,0,4.3,0,0,0,0,0,0,0,7.2,8.3,0,0,0,0,0,0,0,0,0,0,0.7,0
"Booth 2008","HO14","Hornet","United States of America",5.5,4.05,46.077,-92.12,0.6,0,0,0,1.3,0,0,0,5.8,0,2.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0.6,0,5.2,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,13.6,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,14.3,22.1,0,0,0,0,0,0,0,0,0,0,0,0
"Booth 2008","SR05","South Rhody","United States of America",5.5,4.08,46.565,-86.075,0,0,0.6,1.9,0.6,0,0,0,0,0,5.7,1.3,0,5.7,0,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,8.9,0,32.3,0,1.9,0,0,0,0,7.6,0,0,0,1.3,0,0,0,22.8,2.5,0,0,0,0,0,0,0,0,0,0,3.8,0
"Sullivan and Booth 2011","TA42","Tannersville","United States of America",5.5,4.64,41.037,-75.266,0.6,0,0,0,4.7,0,0,0,0,0,10.5,0.6,0,1.8,0.6,0,0,0,20.5,19.9,0,1.2,0,0,2.3,0,0,0.6,0,0,0,0,0,0,0,0.6,5.3,0,0,0.6,0,0,0,7.6,0,4.7,1.2,0,0,0,2.3,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0.6,0,0
"Finkelstein/Bunbury unpublished","M8","Attawapiskat River 1","Canada",5.5,NA,52.845,-83.927,0,0,0,0,0,0,0,0,33.3,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5,0,13.3,0,11.4,0,0,0,0,0,0,0,0,3.8,0,0,0,15.2,3.8,0,0,0,0,0,0,0,0,0,0,0,0
"Lamarre et al 2013","KUJU_11","Kuujuarapik","Canada",5.5,4.64,55.226,-77.696,0,9.3,0,1.3,0.7,0,0,0,22,0,6,4,0,1.3,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,4.7,0,0,0,0,2,0,4,0,0,0,1.3,0,0,0,7.3,0,0,0,0,0,0,0,0,4,0,0,0,18.7,0,0,9.3,0,2,0,0.7,0,0,0,0,0,0
"Lamarre et al 2013","Lebel_G_1","Lebel-G",NA,5.5,3.72,49.101,-68.219,2,5.3,0,0,2,0,0,0,29.8,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,2,0,35.1,0,0,0,0,0,0,0,0,2.6,0,0,0,6,0.7,0,4,0,0,0,0,0,0,0,0,0,0
"Booth 2008","TL96","Trout B","United States of America",5.7,3.59,46.004,-89.594,0,0,0.3,0,0,0,0,0,32.1,0,5.3,1.7,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,15.1,0.6,14.2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3.4,0,0.3,0,0,0,0,0,0,0,0,0.3,0
"Booth 2001","849ada","Grand Traverse Bay","United States of America",6,4.7,47.166,-88.255,0,0,0,0.5,23.2,0,0,35.7,1.1,0,2.2,0,0,0,0.5,0,0,0,1.6,0,0,0,0,0,0,5.9,0,6.5,0,0,0,0,0,0,0,0,2.2,16.2,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"Booth 2001","914ada","Tahquamenon Bay","United States of America",6,4.4,46.475,-84.995,0,0,0,0,8.3,0,0,0,21.7,0,7,0.6,0.6,1.3,0.6,0,0,0,0,0,0,0.6,0,1.3,0,4.5,0,4.5,0,0,0,0,0.6,0,0,0,0,5.1,0,6.4,0,2.5,0.6,8.3,0,13.4,0,0,0,0,3.8,0,0,0,1.3,0,0,0,0,0.6,0,1.3,3.2,1.9,0,0,0,0,0,0,0,0
"Booth 2001","951hda","Tahquamenon Bay","United States of America",6,4,46.475,-84.995,9.4,0,0,1,5.4,0,0,0,1.5,0,6.9,2.5,0.5,0,3.4,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,2,0,0,0,0,8.9,24.1,0,3.4,0.5,0,0,0,5.9,0,0,5.4,4.4,0,0,0,0,7.4,0,1,0,0,0,0,0,0,0,0,3,0
"Booth 2001","953bda","Tahquamenon Bay","United States of America",6,4.1,46.475,-84.995,7.2,0,0,0,9.2,0,0,0,1.3,0,12.4,3.3,0,2,8.5,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.7,0,3.3,4.6,19.6,0,0.7,0,0,0,0,3.9,0,0,3.3,2,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,6.5,0
"Booth 2002","1010A","Au Train Bay","United States of America",6,4.2,46.548,-86.059,0,0,0,0,0,0,0.8,0,0,10.2,6.3,1.6,0,33.1,8.7,2.4,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.4,9.4,0,1.6,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,7.9,0.8,0,0.8,0
"Booth 2002","AUTRAIN""G""A","Au Train Bay","United States of America",6,6.4,46.548,-86.059,0,0,0,0,0,1,2.9,4.8,0,0,0,0,0,47.6,3.8,0,0,0,0,0,0,5.7,0,0,0,18.1,0,0,0,0,0,0,0,0,0,0,6.7,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"Booth 2002","840?Z00","Grand Traverse Bay","United States of America",6,4.5,47.166,-88.255,0,2,0,0,0,0,9,8,0,0,5,0,0,0,14,0,1,0,1,0,0,9,0,5,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2,0,0,0,0,0,0
"Booth 2002","ATB6","Adams Trail","United States of America",6,3.9,46.547,-86.06,0,2.7,0,0.7,7.3,0,0,2,0.7,0,28.7,0,0.7,0,0,0,0,0,0,0,0,0.7,0,1.3,0,27.3,3.3,0,2,0,0,0,0.7,0,0,0,2.7,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,13.3,0,0.7,2.7,0,0,0,0,0,0,0,0.7,0
"Booth 2002","IB20E114:18","Independence","United States of America",6,4.2,47.419,-88.01,0,1.6,0,0,0.4,0,0,0,1.2,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,46.8,0.4,0,1.6,3.2,0,0,0,0,0,0,0.4,0.4,0,0,2.4,16.7,0,2.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0
